Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Dragon_Spacecraft_Qualification_Unit"" title=""Dragon Spacecraft Qualification Unit"">Dragon Spacecraft Qualification Unit</a>
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Dragon_Spacecraft_Qualification_Unit"" title=""Dragon Spacecraft Qualification Unit"">Dragon Spacecraft Qualification Unit</a>
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/COTS_Demo_Flight_1"" title=""COTS Demo Flight 1"">demo flight C1</a><br/>(Dragon C101)
</td>",0,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)</li>
<li><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a></li></ul>
</div>
</td>",Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/Dragon_C2%2B"" title=""Dragon C2+"">demo flight C2+</a><sup class=""reference"" id=""cite_ref-C2_24-0""><a href=""#cite_note-C2-24"">[18]</a></sup><br/>(Dragon C102)
</td>",525 kg,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)
</td>",Success,F9 v1.0B0003.1,No attempt,4 June 2010,18:45
2,"<td rowspan=""2""><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-1"" title=""SpaceX CRS-1"">SpaceX CRS-1</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-0""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C103)
</td>","4,700 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
3,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-2"" title=""SpaceX CRS-2"">SpaceX CRS-2</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-1""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C104)
</td>","4,877 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
4,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a href=""/wiki/CASSIOPE"" title=""CASSIOPE"">CASSIOPE</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-2""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-CASSIOPE_MDA_37-0""><a href=""#cite_note-CASSIOPE_MDA-37"">[31]</a></sup>
</td>",500 kg,"<td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar orbit</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>
</td>",Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SES-8"" title=""SES-8"">SES-8</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-3""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-spx-pr_42-0""><a href=""#cite_note-spx-pr-42"">[35]</a></sup><sup class=""reference"" id=""cite_ref-aw20110323_43-0""><a href=""#cite_note-aw20110323-43"">[36]</a></sup>
</td>","3,170 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
6,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Thaicom_6"" title=""Thaicom 6"">Thaicom 6</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-4""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup>
</td>","3,325 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>",Success,F9 v1.1B1003,Controlled,29 September 2013,16:00
7,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-3"" title=""SpaceX CRS-3"">SpaceX CRS-3</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-5""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C105)
</td>","2,296 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
","<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><br/>B1004
</td>",Controlled,3 December 2013,22:41
8,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Orbcomm-OG2"" title=""Orbcomm-OG2"">Orbcomm-OG2</a>-1<br/>(6 satellites)<sup class=""reference"" id=""cite_ref-sxManifest20120925_28-6""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup>
</td>","1,316 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>",Success,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>",No attempt,6 January 2014,22:06
9,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/AsiaSat_8"" title=""AsiaSat 8"">AsiaSat 8</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-7""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-AsiaSat_SpaceX_61-0""><a href=""#cite_note-AsiaSat_SpaceX-61"">[54]</a></sup><sup class=""reference"" id=""cite_ref-62""><a href=""#cite_note-62"">[55]</a></sup>
</td>","4,535 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>","No attempt
",18 April 2014,19:25
10,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/AsiaSat_6"" title=""AsiaSat 6"">AsiaSat 6</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-8""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-AsiaSat_SpaceX_61-1""><a href=""#cite_note-AsiaSat_SpaceX-61"">[54]</a></sup><sup class=""reference"" id=""cite_ref-65""><a href=""#cite_note-65"">[58]</a></sup>
</td>","4,428 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>",Uncontrolled,14 July 2014,15:15
11,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-4"" title=""SpaceX CRS-4"">SpaceX CRS-4</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-9""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon <a href=""/wiki/Dragon_C106"" title=""Dragon C106"">C106</a>.1)
</td>","2,216 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,"<td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>",Failure ,5 August 2014,08:00
12,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-5"" title=""SpaceX CRS-5"">SpaceX CRS-5</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-0""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><br/>(Dragon C107)
</td>","2,395 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 v1.1,Controlled,7 September 2014,05:00
13,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/DSCOVR"" title=""DSCOVR"">DSCOVR</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-1""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><sup class=""reference"" id=""cite_ref-80""><a href=""#cite_note-80"">[73]</a></sup>
</td>",570 kg,"<td><a href=""/wiki/High_Earth_orbit"" title=""High Earth orbit"">HEO</a><br/>(<a href=""/wiki/Lagrange_point"" title=""Lagrange point"">Sun–Earth L<sub>1</sub></a> insertion)
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a></li>
<li><a href=""/wiki/NASA"" title=""NASA"">NASA</a></li>
<li><a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a></li></ul>
</div>
</td>","Success
",F9 v1.1,No attempt,21 September 2014,05:52
14,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/ABS-3A"" title=""ABS-3A"">ABS-3A</a></li>
<li><a href=""/wiki/Eutelsat_115_West_B"" title=""Eutelsat 115 West B"">Eutelsat 115 West B</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-2""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup></li></ul>
</div>
</td>","4,159 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a></li>
<li><a href=""/wiki/Eutelsat"" title=""Eutelsat"">Eutelsat</a></li></ul>
</div>
</td>","Success
",F9 v1.1,Failure,10 January 2015,09:47
15,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-6"" title=""SpaceX CRS-6"">SpaceX CRS-6</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-3""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><br/>(Dragon <a href=""/wiki/Dragon_C108"" title=""Dragon C108"">C108.1</a>)
</td>","1,898 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 v1.1,No attempt,11 February 2015,23:03
16,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/T%C3%BCrkmen%C3%84lem_52%C2%B0E_/_MonacoSAT"" title=""TürkmenÄlem 52°E / MonacoSAT"">TürkmenÄlem 52°E / MonacoSAT</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-4""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><sup class=""reference"" id=""cite_ref-turkmen-monaco_94-0""><a href=""#cite_note-turkmen-monaco-94"">[87]</a></sup>
</td>","4,707 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a><sup class=""reference"" id=""cite_ref-95""><a href=""#cite_note-95"">[88]</a></sup>
</td>","Success
",F9 v1.1,Precluded,2 March 2015,03:50
17,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-7"" title=""SpaceX CRS-7"">SpaceX CRS-7</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-5""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><br/>(Dragon C109)
</td>","1,952 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Failure,F9 v1.1,Success,14 April 2015,20:10
18,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/Orbcomm-OG2"" title=""Orbcomm-OG2"">Orbcomm-OG2</a>-2<br/>(11 satellites)<sup class=""reference"" id=""cite_ref-sxManifest20120925_28-10""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-orbcomm-og2_104-1""><a href=""#cite_note-orbcomm-og2-104"">[97]</a></sup>
</td>","2,034 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a>
</td>","<td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>","Success
",F9 v1.1,Failure,27 April 2015,23:03
19,"<td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>","<td><a href=""/wiki/Jason-3"" title=""Jason-3"">Jason-3</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-6""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><sup class=""reference"" id=""cite_ref-111""><a href=""#cite_note-111"">[104]</a></sup>
</td>",553 kg,"<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Launch_Services_Program"" title=""Launch Services Program"">LSP</a>)</li>
<li><a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a></li>
<li><a href=""/wiki/CNES"" title=""CNES"">CNES</a></li></ul>
</div>
</td>","Success
",F9 v1.1,Failure,28 June 2015,14:21
20,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SES-9"" title=""SES-9"">SES-9</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-7""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><sup class=""reference"" id=""cite_ref-spacenews20140410_116-0""><a href=""#cite_note-spacenews20140410-116"">[109]</a></sup><sup class=""reference"" id=""cite_ref-nsf20160208_117-0""><a href=""#cite_note-nsf20160208-117"">[110]</a></sup>
</td>","5,271 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>","Success
",F9 FT,Success,22 December 2015,01:29
21,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-8"" title=""SpaceX CRS-8"">SpaceX CRS-8</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-8""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup><sup class=""reference"" id=""cite_ref-nsf20160208_117-1""><a href=""#cite_note-nsf20160208-117"">[110]</a></sup><br/>(Dragon C110.1)
</td>","3,136 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 v1.1,Success,17 January 2016,18:42
22,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">JCSAT-14</a><sup class=""reference"" id=""cite_ref-130""><a href=""#cite_note-130"">[123]</a></sup>
</td>","4,696 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>
</td>","Success
",F9 FT,Success,4 March 2016,23:35
23,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><a href=""/wiki/Thaicom_8"" title=""Thaicom 8"">Thaicom 8</a><sup class=""reference"" id=""cite_ref-sn20140430_137-0""><a href=""#cite_note-sn20140430-137"">[130]</a></sup><sup class=""reference"" id=""cite_ref-138""><a href=""#cite_note-138"">[131]</a></sup>
</td>","3,100 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>","Success
",F9 FT,Failure,8 April 2016,20:43
24,"<td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>","<td><div class=""plainlist"">
<ul><li><a href=""/wiki/ABS_(satellite_operator)"" title=""ABS (satellite operator)"">ABS-2A</a></li>
<li><a href=""/wiki/Eutelsat"" title=""Eutelsat"">Eutelsat 117 West B</a><sup class=""reference"" id=""cite_ref-sxManifest20130731_75-9""><a href=""#cite_note-sxManifest20130731-75"">[68]</a></sup></li></ul>
</div>
</td>","3,600 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a></li>
<li><a href=""/wiki/Eutelsat"" title=""Eutelsat"">Eutelsat</a></li></ul>
</div>
</td>","Success
",F9 FT,Success,6 May 2016,05:21
